"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EGR3.1",2.5485669928262e-07,1.28941698812202,0.111,0.064,0.00050971339856524,"9","EGR3"
"MT1E.7",2.67331537139828e-07,1.58469979269668,0.151,0.096,0.000534663074279655,"9","MT1E"
"HPRT1.5",2.71160515879628e-07,-0.780363301572075,0.266,0.316,0.000542321031759255,"9","HPRT1"
"ARMH1.9",2.76632429613251e-07,-1.5139816739147,0.077,0.138,0.000553264859226502,"9","ARMH1"
"CD55.7",3.01017058781867e-07,-0.744560736012482,0.285,0.342,0.000602034117563734,"9","CD55"
"RFC2.8",3.17790066702213e-07,0.363201117719604,0.172,0.108,0.000635580133404426,"9","RFC2"
"RGS1.8",3.18959980509179e-07,-0.227860538485023,0.62,0.696,0.000637919961018358,"9","RGS1"
"ITGA6.2",3.34769933829661e-07,0.978220050487771,0.123,0.073,0.000669539867659322,"9","ITGA6"
"ADRB2.2",3.53604321906091e-07,0.450934444055566,0.115,0.066,0.000707208643812182,"9","ADRB2"
"HMGN2.7",3.62053781652982e-07,-0.319756339846327,0.848,0.832,0.000724107563305964,"9","HMGN2"
"TALDO1.7",3.79432944253021e-07,0.364715076705803,0.638,0.514,0.000758865888506041,"9","TALDO1"
"RRP12.1",3.91899265769509e-07,0.288608528080673,0.133,0.079,0.000783798531539019,"9","RRP12"
"ATP1B3.6",3.94849036320244e-07,0.399881061743827,0.354,0.259,0.000789698072640487,"9","ATP1B3"
"KMT2E-AS1.6",4.56458412331332e-07,0.178614079940311,0.329,0.23,0.000912916824662664,"9","KMT2E-AS1"
"DZIP3.7",4.79690951496561e-07,-1.29112795183276,0.102,0.162,0.000959381902993122,"9","DZIP3"
"CCR2.8",4.85357106983597e-07,-1.7350724987698,0.054,0.108,0.000970714213967195,"9","CCR2"
"CAPN12.7",4.98879907685283e-07,-1.44823168151002,0.062,0.118,0.000997759815370565,"9","CAPN12"
"GALM.9",5.3794528678926e-07,-0.678371761303063,0.242,0.299,0.00107589057357852,"9","GALM"
"H2AFX.8",5.51584979547125e-07,-1.01893248771611,0.218,0.275,0.00110316995909425,"9","H2AFX"
"PHPT1.6",6.40542125800303e-07,0.205927022585978,0.511,0.377,0.00128108425160061,"9","PHPT1"
"NUCB2.8",6.54189637806013e-07,-0.664643631754263,0.362,0.403,0.00130837927561203,"9","NUCB2"
"AC020916.1.7",6.61506092820125e-07,-0.536627051664524,0.432,0.472,0.00132301218564025,"9","AC020916.1"
"CSF1.7",7.09100532441357e-07,-1.13008533878829,0.079,0.14,0.00141820106488271,"9","CSF1"
"SLC7A5.7",8.43521733558157e-07,-1.26107474743198,0.099,0.158,0.00168704346711631,"9","SLC7A5"
"CDK6.4",1.06774066379016e-06,-0.870318435284909,0.192,0.25,0.00213548132758032,"9","CDK6"
"SESN3.8",1.12529417740813e-06,0.39634571674941,0.203,0.136,0.00225058835481627,"9","SESN3"
"SERPINB9.6",1.22328062611305e-06,-0.568609332064091,0.223,0.289,0.00244656125222609,"9","SERPINB9"
"HADH.6",1.37652112867621e-06,0.415384200430236,0.223,0.152,0.00275304225735243,"9","HADH"
"NABP1.6",1.50452053621362e-06,0.503102599469891,0.292,0.21,0.00300904107242724,"9","NABP1"
"ARRDC2.8",1.70923978099814e-06,0.483870236134815,0.24,0.166,0.00341847956199629,"9","ARRDC2"
"GPR35.4",1.78542229409794e-06,0.239289211513015,0.131,0.079,0.00357084458819588,"9","GPR35"
"PHF19.8",1.82868295328055e-06,-1.16886052147808,0.09,0.146,0.0036573659065611,"9","PHF19"
"PTPN6.8",1.87417324616645e-06,-0.346110118611225,0.567,0.607,0.00374834649233289,"9","PTPN6"
"CHI3L2.6",2.11320120960734e-06,-0.515321200516933,0.075,0.136,0.00422640241921467,"9","CHI3L2"
"TUBB2A.5",2.13372616621564e-06,0.548880220958206,0.152,0.097,0.00426745233243128,"9","TUBB2A"
"HSPA5.4",2.20544820192948e-06,0.500245111743519,0.731,0.69,0.00441089640385897,"9","HSPA5"
"CD101.9",2.45469322020843e-06,-1.44143574046015,0.079,0.132,0.00490938644041685,"9","CD101"
"AL357060.1.6",2.47516056375487e-06,-1.46946402623057,0.057,0.108,0.00495032112750975,"9","AL357060.1"
"TOX2.8",2.87109035932081e-06,-1.64063921246217,0.067,0.12,0.00574218071864162,"9","TOX2"
"LRMP.5",2.91688076156652e-06,0.503306171147915,0.214,0.146,0.00583376152313305,"9","LRMP"
"PKM.8",3.16439952518223e-06,-0.283049914957734,0.719,0.756,0.00632879905036446,"9","PKM"
"TXNDC17.6",3.33325652246123e-06,0.24800708366076,0.469,0.342,0.00666651304492245,"9","TXNDC17"
